"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"724564799623815171","","","2016-04-25 11:44:44 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","今日の、M田君ゲイ疑惑は面白すぎた。
あと、額縁ネタ。","","","",""
"724564433511436289","","","2016-04-25 11:43:17 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SA_kogakuin: 4/28(木曜日)の予定
時間:15:30〜21:30
科目:c言語 java 情報数学 情報学実験 確率統計
場所:新宿キャンパス24階SA室","724508192806293504","3167038310","2016-04-25 07:59:48 +0000",""
"724552055902199808","","","2016-04-25 10:54:06 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SA_kogakuin: 今八王子でSAしてます！
今日は臨時でプログラミング、情報数学、工学院スタディーズなど対応できます！
場所；学習支援センター近辺の自習スペース","724500167932538880","3167038310","2016-04-25 07:27:55 +0000",""
"724552043604512769","","","2016-04-25 10:54:03 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SA_kogakuin: 4/27(水曜日)の予定
時間:15:30〜21:30
科目:c言語 java 情報数学 情報学実験 確率統計
場所:新宿キャンパス24階SA室","724507575580921857","3167038310","2016-04-25 07:57:21 +0000",""
"724226048217346048","","","2016-04-24 13:18:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","リフレッシュに鎌倉行きたい。","","","",""
"723857495685390336","","","2016-04-23 12:54:10 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",".vimrc 書き換えたら、ほとんど同じ動作になった。。。
あと、長い","","","",""
"723461348743471104","","","2016-04-22 10:40:01 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","デブは、嫌だ。","","","",""
"723461283786301440","","","2016-04-22 10:39:45 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","昼に炭水化物。
夜は確実に炭水化物抜くしかない。","","","",""
"723448215375212545","","","2016-04-22 09:47:50 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","パクることが可能な範囲では、""食""のみ。","","","",""
"723448106088456192","","","2016-04-22 09:47:24 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","唯一、パクられてないのは、","","","",""
"723448043974979584","","","2016-04-22 09:47:09 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","とうとう、パクられちゃった。","","","",""
"723377734932516864","","","2016-04-22 05:07:46 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","とうとう、辻が
パソコンまでも、パクろうとしてる。","","","",""
"723117564218372096","","","2016-04-21 11:53:56 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","混んでる電車で改めて
純粋にデブ嫌い。","","","",""
"723029323649675264","","","2016-04-21 06:03:18 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ハイレゾっていえば早いのにな","","","",""
"723019478494146560","","","2016-04-21 05:24:11 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","独立でShow","","","",""
"723007727115456513","723007586094587905","1912678093","2016-04-21 04:37:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ry0u_yd 松Dさん 怖いです((( ；ﾟДﾟ)))","","","",""
"723007625395208193","","","2016-04-21 04:37:05 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ry0u_yd: M田君が，キレて壁けってる... 怖いよぉ...","723007586094587905","1912678093","2016-04-21 04:36:56 +0000",""
